Title,Authors,Year,Venue,Index,isSigmod,isVLDB,Authors_new,bucket,ToKeep
querying bi-level information,"sudarshan murthy, david maier, lois delcambre",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97d,True,False,"l delcambre, d maier, s murthy","d, l, m, s",True
visualizing and discovering web navigational patterns,"jiyang chen, lisheng sun, osmar r. zaïane, randy goebel",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97e,True,False,"j chen, r goebel, l sun, o zaïane","c, g, j, l, o, r, s, z",True
semantic multicast for content-based stream dissemination,"olga papaemmanouil, uĝur çetintemel",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc982,True,False,"o papaemmanouil, u çetintemel","o, p, u, ç",True
best-match querying from document-centric xml,"jaap kamps, maarten marx, maarten de rijke, börkur sigurbjörnsson",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc985,True,False,"j kamps, m marx, m rijke, b sigurbjörnsson","b, j, k, m, r, s",True
checking potential validity of xml documents,"ionut e. iacob, alex dekhtyar, michael i. dekhtyar",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc98b,True,False,"a dekhtyar, m dekhtyar, i iacob","a, d, i, m",True
querying peer-to-peer networks using p-trees,"adina crainiceanu, prakash linga, johannes gehrke, jayavel shanmugasundaram",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc980,True,False,"a crainiceanu, j gehrke, p linga, j shanmugasundaram","a, c, g, j, l, p, s",True
one torus to rule them all: multi-dimensional queries in p2p systems,"prasanna ganesan, beverly yang, hector garcia-molina",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97f,True,False,"p ganesan, h garcia-molina, b yang","b, g, h, p, y",True
twig query processing over graph-structured xml data,"zografoula vagena, mirella m. moro, vassilis j. tsotras",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc983,True,False,"m moro, v tsotras, z vagena","m, t, v, z",True
mining approximate functional dependencies and concept similarities to answer imprecise queries,"ullas nambiar, subbarao kambhampati",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc988,True,False,"s kambhampati, u nambiar","k, n, s, u",True
dtds versus xml schema: a practical study,"geert jan bex, frank neven, jan van den bussche",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc989,True,False,"g bex, j bussche, f neven","b, f, g, j, n",True
content and structure in indexing and ranking xml,"felix weigel, holger meuss, klaus u. schulz, françois bry",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc987,True,False,"f bry, h meuss, k schulz, f weigel","b, f, h, k, m, s, w",True
on validation of xml streams using finite state machines,"cristiana chitic, daniela rosu",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc98a,True,False,"c chitic, d rosu","c, d, r",True
challenges in selecting paths for navigational queries: trade-off of benefit of path versus cost of plan,"maría-esther vidal, louiqa raschid, julian mestre",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc986,True,False,"j mestre, l raschid, m vidal","j, l, m, r, v",True
"spam, damn spam, and statistics: using statistical analysis to locate spam web pages","dennis fetterly, mark manasse, marc najork",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97c,True,False,"d fetterly, m manasse, m najork","d, f, m, n",True
scalable dissemination: what's hot and what's not,"jonathan beaver, nicholas morsillo, kirk pruhs, panos k. chrysanthis, vincenzo liberatore",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc981,True,False,"j beaver, p chrysanthis, v liberatore, n morsillo, k pruhs","b, c, j, k, l, m, n, p, v",True
unraveling the duplicate-elimination problem in xml-to-sql query translation,"rajasekar krishnamurthy, raghav kaushik, jeffrey f naughton",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc984,True,False,"r kaushik, r krishnamurthy, j naughton","j, k, n, r",True
text centric structure extraction and exploitation (abstract only),prabhakar raghavan,2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfdc0c,True,False,p raghavan,"p, r",True
preserving mapping consistency under schema changes,"yannis velegrakis, j. miller, lucian popa",2004,the vldb journal — the international journal on very large data bases,5390975920f70186a0dfe099,False,True,"j miller, l popa, y velegrakis","j, l, m, p, v, y",True
life science research and data management—what can they give each other?,amarnath gupta,2004,acm sigmod record,5390975920f70186a0dfe2ab,True,False,a gupta,"a, g",True
"review of ""managing gigabytes: compressing and indexing documents and images, by ian h. witten, alistair moffat, and timothy c. bell"" morgan kauffman, 1999, 519 pp. isbn 1558605703.",s. v. nagaraj,2004,acm sigmod record,5390975920f70186a0dfe2bb,True,False,s nagaraj,"n, s",True
"jeffrey naughton speaks out on database systems as control freaks, how to choose students, how to choose problems, how to get attention, the importance of being true to yourself, and more",marianne winslett,2004,acm sigmod record,5390975920f70186a0dfe2b9,True,False,m winslett,"m, w",True
"database tuning principles, experiments, and troubleshooting techniques","dennis shasha, philippe bonnet, nancy hartline bercich",2004,acm sigmod record,5390975920f70186a0dfe2bc,True,False,"n bercich, p bonnet, d shasha","b, d, n, p, s",True
reminiscences on influential papers,kenneth a. ross,2004,acm sigmod record,5590e04a0cf25001c36efa09,True,False,k ross,"k, r",True
report on the edbt'04 workshop on database technologies for handling xml information on the web,"marco mesiti, barbara catania, giovanna guerrini, akmal chaudhri",2004,acm sigmod record,5390975920f70186a0dfe2bf,True,False,"b catania, a chaudhri, g guerrini, m mesiti","a, b, c, g, m",True
automatic composite wrapper generation for semi-structured biological data based on table structure identification,"liangyou chen, hasan m. jamil, nan wang",2004,acm sigmod record,5390975920f70186a0dfe2b3,True,False,"l chen, h jamil, n wang","c, h, j, l, n, w",True
"the genalg project: developing a new integrating data model, language, and tool for managing and querying genomic information","joachim hammer, markus schneider",2004,acm sigmod record,5390975920f70186a0dfe2b1,True,False,"j hammer, m schneider","h, j, m, s",True
the bea streaming xquery processor,"daniela florescu, chris hillery, donald kossmann, paul lucas, fabio riccardi, till westmann, j. carey, arvind sundararajan",2004,the vldb journal — the international journal on very large data bases,5390979920f70186a0dff268,False,True,"j carey, d florescu, c hillery, d kossmann, p lucas, f riccardi, a sundararajan, t westmann","a, c, d, f, h, j, k, l, p, r, s, t, w",True
reminiscences on influential papers,kenneth a. ross,2004,acm sigmod record,558ce80de4b0bb3102a0c8ac,True,False,k ross,"k, r",True
"phil bernstein speaks out on trends at industrial research labs: what metadata management products need, peculiarities of the tenure sytem, how to fix the problems with database research conferences, and more",marianne winslett,2004,acm sigmod record,5390979920f70186a0dffb88,True,False,m winslett,"m, w",True
guest editorial to the special issue on data stream processing,"johannes gehrke, m. hellerstein",2004,the vldb journal — the international journal on very large data bases,5390979920f70186a0e00cd7,False,True,"j gehrke, m hellerstein","g, h, j, m",True
balancing energy efficiency and quality of aggregate data in sensor networks,"a. sharaf, jonathan beaver, alexandros labrinidis, k. chrysanthis",2004,the vldb journal — the international journal on very large data bases,5390979920f70186a0e00cd6,False,True,"j beaver, k chrysanthis, a labrinidis, a sharaf","a, b, c, j, k, l, s",True
finding hot query patterns over an xquery stream,"huai yang, li lee, wynne hsu",2004,the vldb journal — the international journal on very large data bases,5390979920f70186a0e00cd4,False,True,"w hsu, l lee, h yang","h, l, w, y",True
book review column,karl aberer,2004,acm sigmod record,558e0a000cf2c779a64768b0,True,False,k aberer,"a, k",True
"review of ""emergence and convergence: qualitative novelty and the unity of knowledge by mario bunge"", university of toronto press, 2004, isbn 0-8020-8860-0.",haim kilov,2004,acm sigmod record,5390980720f70186a0e01e40,True,False,h kilov,"h, k",True
report on the seventh edbt summer school: xml & databases,"riccardo torlone, paolo atzeni",2004,acm sigmod record,5390980720f70186a0e01e41,True,False,"p atzeni, r torlone","a, p, r, t",True
reminiscences on influential papers,kenneth a. ross,2004,acm sigmod record,5590da7c0cf2baaad9717432,True,False,k ross,"k, r",True
"review of ""web services by g. alonso, f. casati, h. kuno, and v. machiraju"", springer-verlag, 2004, isbn 30540-44008-9",dirk wodtke,2004,acm sigmod record,5390980720f70186a0e01e3f,True,False,d wodtke,"d, w",True
"c. mohan speaks out: on r*, message queues, computer science in india, how aries came about, life as an ibm fellow, and more",marianne winslett,2004,acm sigmod record,5390980720f70186a0e01e3e,True,False,m winslett,"m, w",True
binocular: a system monitoring framework,"fatih emekci, sezai e. tuna, divyakant agrawal, amr el abbadi",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e99,False,True,"a abbadi, d agrawal, f emekci, s tuna","a, d, e, f, s, t",True
adaptive sampling for sensor networks,"ankur jain, edward y. chang",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e9a,False,True,"e chang, a jain","a, c, e, j",True
optimization of in-network data reduction,"joseph m. hellerstein, wei wang",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e9e,False,True,"j hellerstein, w wang","h, j, w",True
proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,"alexandros labrinidis, samuel madden",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e98,False,True,"a labrinidis, s madden","a, l, m, s",True
predictive filtering: a learning-based approach to data stream filtering,"vibhore kumar, brian f. cooper, shamkant b. navathe",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e9b,False,True,"b cooper, v kumar, s navathe","b, c, k, n, s, v",True
kpt: a dynamic knn query processing algorithm for location-aware sensor networks,"julian winter, wang-chien lee",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea7,False,True,"w lee, j winter","j, l, w",True
approximately uniform random sampling in sensor networks,"boulat a. bash, john w. byers, jeffrey considine",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e9d,False,True,"b bash, j byers, j considine","b, c, j",True
active rules for sensor databases,"m. zoumboulakis, g. roussos, a. poulovassilis",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea4,False,True,"a poulovassilis, g roussos, m zoumboulakis","a, g, m, p, r, z",True
a framework for spatio-temporal query processing over wireless sensor networks,"alexandru coman, mario a. nascimento, jörg sander",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea5,False,True,"a coman, m nascimento, j sander","a, c, j, m, n, s",True
"mission-critical management of mobile sensors: or, how to guide a flock of sensors","goce trajcevski, peter scheuermann, herve brönnimann",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea6,False,True,"h brönnimann, p scheuermann, g trajcevski","b, g, h, p, s, t",True
region streams: functional macroprogramming for sensor networks,"ryan newton, matt welsh",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea2,False,True,"r newton, m welsh","m, n, r, w",True
streamglobe: adaptive query processing and optimization in streaming p2p environments,"bernhard stegmaier, richard kuntschke, alfons kemper",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea3,False,True,"a kemper, r kuntschke, b stegmaier","a, b, k, r, s",True
a framework for extending the synergy between mac layer and query optimization in sensor networks,"vladimir i. zadorozhny, panos k. chrysanthis, prashant krishnamurthy",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea1,False,True,"p chrysanthis, p krishnamurthy, v zadorozhny","c, k, p, v, z",True
wavescheduling: energy-efficient data dissemination for sensor networks,"niki trigoni, yong yao, alan demers, johannes gehrke, rajmohan rajaraman",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e9f,False,True,"a demers, j gehrke, r rajaraman, n trigoni, y yao","a, d, g, j, n, r, t, y",True
confidence-based data management for personal area sensor networks,"nesime tatbul, mark buller, reed hoyt, steve mullen, stan zdonik",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03e9c,False,True,"m buller, r hoyt, s mullen, n tatbul, s zdonik","b, h, m, n, r, s, t, z",True
"meadows: modeling, emulation, and analysis of data of wireless sensor networks","qiong luo, lionel m. ni, bingsheng he, hejun wu, wenwei xue",2004,dmsn '04 proceeedings of the 1st international workshop on data management for sensor networks: in conjunction with vldb 2004,5390980720f70186a0e03ea0,False,True,"b he, q luo, l ni, h wu, w xue","b, h, l, n, q, w, x",True
"the past, present and future of web information retrieval",monika henzinger,2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e0499f,True,False,m henzinger,"h, m",True
"conditional xpath, the first order complete xpath dialect",maarten marx,2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e0499c,True,False,m marx,m,True
using non-linear dynamical systems for web searching and ranking,panayiotis tsaparas,2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e049a1,True,False,p tsaparas,"p, t",True
positive active xml,"serge abiteboul, omar benjelloun, tova milo",2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e0499e,True,False,"s abiteboul, o benjelloun, t milo","a, b, m, o, s, t",True
frontiers of tractability for typechecking simple xml transformations,"wim martens, frank neven",2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e0499d,True,False,"w martens, f neven","f, m, n, w",True
"trees, automata and xml",thomas schwentick,2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e049b0,True,False,t schwentick,"s, t",True
"roads, codes, and spatiotemporal queries","sandeep gupta, swastik kopparty, chinya ravishankar",2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e049a6,True,False,"s gupta, s kopparty, c ravishankar","c, g, k, r, s",True
k-means projective clustering,"pankaj k. agarwal, nabil h. mustafa",2004,pods '04 proceedings of the twenty-third acm sigmod-sigact-sigart symposium on principles of database systems,5390981d20f70186a0e049aa,True,False,"p agarwal, n mustafa","a, m, n, p",True
